reviews,country,date,cleaned_reviews,sentiment_score,review_category
"This is one of the worst earphones I have ever used.Design of the earbuds is very bad.Doesn't fits well in right ear. It starts paining after few minutes.My recommendation : don't buy before you try.I wanted to return but electronic items are only eligible for replacement. So, I took replacement if I received faulty item but it didn't helped.",India,28-August-2020,one worst earphon ever useddesign earbud baddoesnt fit well right ear start pain minutesmi recommend dont buy tryi want return electron item elig replac took replac receiv faulti item didnt help,-0.7838,negative
"I am really impressed by Realme this time! I love earbuds and have several ones like Vido, Yincrow X6 and Monk Plus. These are quite well built and I love the audio output at this price point! The phone is able to drive them easily and pairing a DAC makes them even better sounding. The sound is U shaped, Bass is well presented but not basshead level and the bass quality will not disappoint you as it's good enough considering these are earbuds. Mids are balanced and highs are crisp with good imaging! A great set for the price! Go for it! If airpods fit you well, these will too ;)",India,28-August-2020,realli impress realm time love earbud sever one like vido yincrow x6 monk plu quit well built love audio output price point phone abl drive easili pair dac make even better sound sound u shape bass well present basshead level bass qualiti disappoint good enough consid earbud mid balanc high crisp good imag great set price go airpod fit well ,0.9896,positive
I am a user of sony xb400 wireless headset but still I ordered it for temporary use and trust me I am loving it. Sound quality is quite decent and excellent in this price range. Bass is awesome and look and feel quality is good in this range. Overall value for money and last but not the least mic which is also giving good response.,India,28-August-2020,user soni xb400 wireless headset still order temporari use trust love sound qualiti quit decent excel price rang bass awesom look feel qualiti good rang overal valu money last least mic also give good respons,0.9897,positive
"Sorry for the confusing headline... actually... I meant to say if it fits well to your ear then it is the best that price can buy in this price range... if not then it is really horrifying..you will end up with pain in your ears.So before going into review further, what actually an audio device demands that is sound quality your primary question should be if it will fit to your ears or not..Luckily if you have such an 'fitting ears' the following portion is for you, otherwise abort reading here..Sound Quality:Overall great. This has got the largest driver size (14.2mm) that I never encountered in any bud. By virtue of that it delivers beautiful, clear sound across all ranges, high & mid are excellent and crisp; low is also good (if it fit properly to your ears)rating:High (treble): 9/10Mid: 9.5/10Low (Bass): 7/10Microphone:as demanded in the spec, quality is excellent, crystal clear (for 4G calls) but its positioning one the wire is quite weird, its so distant from your mouth, almost 8-10 inches away for an average person (without exceptional neck length like crane or giraffe ;)!), it will invariably pick your voice only feebly. You have to hold it near your mouth for better voice volume to reach at other end. Couldn't find any justification placing so distant!!Rating: 8/10(would have given 10/10 if it was closer to mouth)Build Quality:overall good. Wires are decent and seems to be durable, but the buds itself are plasticy and slippery and quite often fall from your ears. the jack would have been better if featured right angle type.Rating: 6/10Fit:this is the most horrible part. as the buds are hard there is no scope to adjustment as par the shape of your ear (unlike 'in the ear' gel buds type) as the buds are plasticy it will not seat at its position, will slip readily. Cant be used during heavy movements (not even for brisk walking). and it pains on prolonged usage.Rating: 3-4/10However, I liked the common problem of 'in the ear' gel buds type- the unnatural own voice resonance (just like that you feel when you talk closing your own ear) while speaking due to sound conduction is not so much here.Final Verdict:If you have a chance try it first whether it fits to your ears (need a large ear type) before you decide to get ones!!It actually sound great!!",India,28-August-2020,sorri confus headlin actual meant say fit well ear best price buy price rang realli horrifyingy end pain earsso go review actual audio devic demand sound qualiti primari question fit ear notluckili fit ear follow portion otherwis abort read heresound qualityoveral great got largest driver size 142mm never encount bud virtu deliv beauti clear sound across rang high mid excel crisp low also good fit properli earsratinghigh trebl 910mid 9510low bass 710microphonea demand spec qualiti excel crystal clear 4g call posit one wire quit weird distant mouth almost 810 inch away averag person without except neck length like crane giraff invari pick voic feebli hold near mouth better voic volum reach end couldnt find justif place distantr 810would given 1010 closer mouthbuild qualityoveral good wire decent seem durabl bud plastici slipperi quit often fall ear jack would better featur right angl typer 610fitthi horribl part bud hard scope adjust par shape ear unlik ear gel bud type bud plastici seat posit slip readili cant use heavi movement even brisk walk pain prolong usager 3410howev like common problem ear gel bud type unnatur voic reson like feel talk close ear speak due sound conduct much herefin verdictif chanc tri first whether fit ear need larg ear type decid get onesit actual sound great,0.9812,positive
"I dont want to use wireless earphones all the time due to health reasons so for daily rough and home usage, took this one.About the product.- Better than boat at this price range- good quality built- fits nicely in ears without pain- Tangle-free Cord, Two way built design.- Its Glossy, looks classic and clean finishWith the two way design i meant, till mic length its made up different material which helps wire to remain loosen up without getting tangled and rest above part is the same one which normally every earphones used, so its nice.My Usage:- Using under a helmet so with this plain in-ear design doesn't hurt my ear while riding bike and using the helmet and at same time listening to songs and answering calls.- At home using it for long session multimedia purposes like using it with a laptop while watching some videos or listening to some info videos related to my field.that's pretty it, not heavily usage like listening songs in free time and always using it throughout the day, so if you looking for a daily driver for your calls, for songs multimedia, etc at the same price point then there are other options as well like from boult wired earphones, they are fantastic, durable and awesome sound quality with same price range.Pros- good music quality at this price range- looks stylish clean and sleek- Good for bass loversCons- Due to heavier on bass, in-call voice seems to be heavier, not crisp- inline mic situation is pathetic, not near your mouth so while riding you have to stick into your helmet for clear communication- terrible for callers as its heavier on the bass side and the treble feels like lostBottomlineIts best for music at this price range but not best for calling purposes.i got this for hit and try experience, just to have something new not because i have lots of money, just because my existing wired earphones got bigger earplugs body which cause me pain while wearing under helmet. so due to its simple in ear design with no bulge outwards makes it convenient.Suggestion: Positioning of mic can be adjusted by lifting it upwards instead giving it in midway.May be its due to the fact that if they give mic near mouth, they have to give mic on single wire, which might increase the cost due to technology & implementation on thin wires, whereas under 500 budget handsfree , Companies generally prefer locating mic midway where both the wires i.e left & right ear gets separated or diverted ( joint ), which helps companies to save extra cost.",India,27-August-2020,dont want use wireless earphon time due health reason daili rough home usag took oneabout product better boat price rang good qualiti built fit nice ear without pain tanglefre cord two way built design glossi look classic clean finishwith two way design meant till mic length made differ materi help wire remain loosen without get tangl rest part one normal everi earphon use nicemi usag use helmet plain inear design doesnt hurt ear ride bike use helmet time listen song answer call home use long session multimedia purpos like use laptop watch video listen info video relat fieldthat pretti heavili usag like listen song free time alway use throughout day look daili driver call song multimedia etc price point option well like boult wire earphon fantast durabl awesom sound qualiti price rangepro good music qualiti price rang look stylish clean sleek good bass loverscon due heavier bass incal voic seem heavier crisp inlin mic situat pathet near mouth ride stick helmet clear commun terribl caller heavier bass side trebl feel like lostbottomlineit best music price rang best call purposesi got hit tri experi someth new lot money exist wire earphon got bigger earplug bodi caus pain wear helmet due simpl ear design bulg outward make convenientsuggest posit mic adjust lift upward instead give midwaymay due fact give mic near mouth give mic singl wire might increas cost due technolog implement thin wire wherea 500 budget handsfre compani gener prefer locat mic midway wire ie left right ear get separ divert joint help compani save extra cost,0.9651,positive
"Good enough better than my realme buds 2 which is  worth 600. Bass is good and better than relme buds 2 .but not as good as apple basic earphones even with very large 14.2 mm driver. for bass ill give 8.8 out of 10 points becose i compared it with apple airpods other wise it deserve  9.2 - 9.5 for bass. Fits comfortably in ear deosnt couse pain(new user may feel pain for 2 to 3 days after get used to it not a big deal. Earphone with eartips couse pain to my ears but for this half ear type i get  used to it long ago so i love it. Vocals 9 out of 10. Trable 9 out of 10.for this price realme gives 2000 worth earphones believ me.jbl,sony boat are much expensive with similar even lower sound quality.",India,4-September-2020,good enough better realm bud 2 worth 600 bass good better relm bud 2 good appl basic earphon even larg 142 mm driver bass ill give 88 10 point becos compar appl airpod wise deserv 92 95 bass fit comfort ear deosnt cous painnew user may feel pain 2 3 day get use big deal earphon eartip cous pain ear half ear type get use long ago love vocal 9 10 trabl 9 10for price realm give 2000 worth earphon believ mejblsoni boat much expens similar even lower sound qualiti,0.632,positive
"Simply do not buy these earphones.After a lot of research and good reviews i decided to buy these earphones.I was fully impressed with the quality of these earphones ,so i ordered one more piece in white colour.But now (after 4 months) their quality is degraded drastically.They are just sounds like 50rs earphones,and it is same with both the earphonesIts loudness ratio when new:old :: 10:1Bass when new:old :: 10:1I also tried to clean their earbuds but nothing happened.Don't waste your money in this product.",India,6-September-2020,simpli buy earphonesaft lot research good review decid buy earphonesi fulli impress qualiti earphon order one piec white colourbut 4 month qualiti degrad drasticallythey sound like 50r earphonesand earphonesit loud ratio newold 101bass newold 101i also tri clean earbud noth happeneddont wast money product,0.333,positive
"Earphones are very very uncomfortable, after listening 10 minutes I will get ear pains, very important there is no bass, Don't believe 14.2mm drivers, Don't waste your money.",India,28-August-2020,earphon uncomfort listen 10 minut get ear pain import bass dont believ 142mm driver dont wast money,-0.5784,negative
This earphone is very affordable. Not only that but it's comes with 14.2mm driver under ₹400. *Pro's✓ Awesome Bass✓ Good sound quality✓ HD mic✓ Texture wire✓ Great fitting (for my ear but not sure for other's)  *Con's× No L shape audio jack× Not gold plated jack  So if you budget is tight then go fo it. Great deal.,India,30-April-2021,earphon afford come 142mm driver 400 pro awesom bass good sound qualiti hd mic textur wire great fit ear sure other con l shape audio jack gold plate jack budget tight go fo great deal,0.9519,positive
"The sound quality of the earphones is good considering the price range but please do not buy before a trial offline or if you beleive that the area around the entry of your ear canal is considerably small. It has a huge effect according to the make of your ears. Company didn't consider this while designing. For me, the earphones are uncomfortable. I have to constantly adjust them. The area around the earphone grill is not quite smooth as a fresh piece which, according to your ear shape & size, will make it uncomfortable. Overall, I'd say buy at your own risk or take an offline trial if possible.Update after a month's usage:The sound quality after the initial burn-in is still good for the price..the area around the earphone grill was smoothened by rubbing with clothes..comfortable at a particular position..would suggest an offline trial before buying..",India,1-September-2020,sound qualiti earphon good consid price rang pleas buy trial offlin beleiv area around entri ear canal consider small huge effect accord make ear compani didnt consid design earphon uncomfort constantli adjust area around earphon grill quit smooth fresh piec accord ear shape size make uncomfort overal id say buy risk take offlin trial possibleupd month usageth sound qualiti initi burnin still good priceth area around earphon grill smoothen rub clothescomfort particular positionwould suggest offlin trial buy,0.2382,positive
