reviews,country,date,cleaned_reviews,sentiment_score,review_category
"I bought this Earphone as a replacement for my Boat Earphone. I mostly use earphones for listing to music and will use them as a headset for my Pubg mobile game which is why I needed the one with a mic.I found great reviews on realme 1 buds. so, I thought newer version will also do justice & at a decent price so wanted to try them out.I am comparing them with my Boat, (which speaker went out on one side but just came back).⚫ Sound Quality:The sound quality is actually very good! I'm impressed by crisp and clean sound with good bass! They are not headphones but for earbuds, they are top of my list even better than my boat which I thought were amazing.You get a nice bass at all volume levels and at higher levels the quality is still great and crisp/clear.⚫ Durability:I can't say too much since this is a day 2 review, I am going to try and come back in a month to do a follow up on how well they are!But initial thoughts it looks durable as it comes with high quality braided cable, Mic/Volume control/3.5mm Jack all feel solid and durable.We will see how long they last from daily use as an IT professional & part-time mobile gamer. (I will also update the stars for Durability is they prove me wrong).⚫ Noise Cancellation: Buds are very soft & comfortable & fit very well n isolate outside noise. And gives you the freedom to use in crowded places as well⚫ Cons:Normal 3.5mm jack (No angled jack)Cable above mic seems like average quality & frankly, I don't like upper side cable design⚫ Overall under 600, these Earphones sounds GREAT! I hope to return in the future to update my review using them for 30 days.",India,9-September-2020,bought earphon replac boat earphon mostli use earphon list music use headset pubg mobil game need one mici found great review realm 1 bud thought newer version also justic decent price want tri outi compar boat speaker went one side came back sound qualityth sound qualiti actual good im impress crisp clean sound good bass headphon earbud top list even better boat thought amazingy get nice bass volum level higher level qualiti still great crispclear durabilityi cant say much sinc day 2 review go tri come back month follow well arebut initi thought look durabl come high qualiti braid cabl micvolum control35mm jack feel solid durablew see long last daili use profession parttim mobil gamer also updat star durabl prove wrong nois cancel bud soft comfort fit well n isol outsid nois give freedom use crowd place well consnorm 35mm jack angl jackcabl mic seem like averag qualiti frankli dont like upper side cabl design overal 600 earphon sound great hope return futur updat review use 30 day,0.9969,positive
"am currently using Sennheixer cx213thats a legend headphone..but after using realme bud 2,, I realised Sennheixer iz best in best..btw price matter its 1499 headphone i got it from flipkart around 899 on sale..Now Cumming to the realme bud 2 its has noise cancellation holes, left right indicator, and a average mic also.. build is 10/10bass is much higher site, Sound is very surrounding types ..Wire quality is suped very durable i can say dat..But at the end my old headphone is best.. i bought realme bud 2 for my father and he is liking it dats all",India,14-September-2019,current use sennheix cx213that legend headphonebut use realm bud 2 realis sennheix iz best bestbtw price matter 1499 headphon got flipkart around 899 salenow cum realm bud 2 nois cancel hole left right indic averag mic also build 1010bass much higher site sound surround type wire qualiti supe durabl say datbut end old headphon best bought realm bud 2 father like dat,0.9042,positive
Built-Boat bassheads  build quality is great but realme is better than themAudio- when i used boat earphone i was shocked feom its loudness if you want earphones with great volume then go with boatBass lover would love realme  budsService- my boat bassheads one side stop working when i contacted service center in a week it was replaceRealme service i have not any ideaOverall 4/5 to boat and 4/5 to realme alsoNow its your choice to choose the right oneI suggest better go with realme,India,9-September-2020,builtboat basshead build qualiti great realm better themaudio use boat earphon shock feom loud want earphon great volum go boatbass lover would love realm budsservic boat basshead one side stop work contact servic center week replacerealm servic ideaoveral 45 boat 45 realm alsonow choic choos right onei suggest better go realm,0.9766,positive
"I'm a diehard audiophile and have been using a lot of headphones. I dont usually buy expensive ones and mostly opt ones below 2k.Let me tell you, I fell in love with this buddy the very moment i put it in my ears. I was a JBL fanboy but lately there is a lot of quality issue with their products so I took a chance and bought this.In sub 1.5k range I can guarantee this is the best vfm product right now in the market.Pros:1. Build quality (is awesome)-Way better than JBL and Boat. Braided wire till splitter and earpiece ribbed wire is of good quality and feels durable.-You get magnetic tips too.-Mic clarity is good.-Buttons give a good feedback and feels premium.-Overall it gives premium feel. Didnt expect this much quality for Rs. 599.2. Sound QualityBass is just great, I mean GREAT and it does not muffle up mids and lows. Sounds more like JBL T110. Mid and low are also great. With proper equaliser setting, this guy will blow your audiophile brain.This is just soo good. Hope it will last long. Will update on durability after usage.# Update after 7 months of usage :Still going strong as the first day. No quality issues till now. Seems durable.",India,14-September-2019,im diehard audiophil use lot headphon dont usual buy expens one mostli opt one 2klet tell fell love buddi moment put ear jbl fanboy late lot qualiti issu product took chanc bought thisin sub 15k rang guarante best vfm product right marketpros1 build qualiti awesomeway better jbl boat braid wire till splitter earpiec rib wire good qualiti feel durabley get magnet tip toomic clariti goodbutton give good feedback feel premiumoveral give premium feel didnt expect much qualiti rs 5992 sound qualitybass great mean great muffl mid low sound like jbl t110 mid low also great proper equalis set guy blow audiophil brainthi soo good hope last long updat durabl usag updat 7 month usag still go strong first day qualiti issu till seem durabl,0.9959,positive
Wire Quality is good but most important is sound quality is not so good...Right earpiece has low voice as we compare to left side earpiece,India,10-September-2019,wire qualiti good import sound qualiti goodright earpiec low voic compar left side earpiec,0.2357,positive
Its been the 3rd day and one side of the earphones isn't working.Pros:*Physically (external build) good*Very good microphone for recording*Bass is nice (but it is also the con of this earphone)*Aesthetically niceCons:*Cheap quality product.... You will feel this product very good by just looks but when start using it.. You will feel the inferior quality of the earphone.* output sound is not balanced.. There is only bass.Conclusion : better gift someone you don't like much but never use this for your own..,India,25-November-2019,3rd day one side earphon isnt workingprosphys extern build goodveri good microphon recordingbass nice also con earphoneaesthet niceconscheap qualiti product feel product good look start use feel inferior qualiti earphon output sound balanc bassconclus better gift someon dont like much never use,0.8633,positive
"In One word, its Awesome. Its really have high bass.... this is sure that you get same high bass with *ubon prime* but there clarity is not maintained so well with bass but here vocal and every clarity amazingly maintained. HOWEVER YOU SHOULD GO FOR IT.",India,14-September-2019,one word awesom realli high bass sure get high bass ubon prime clariti maintain well bass vocal everi clariti amazingli maintain howev go,0.9314,positive
Realme buds 2 is very cheap quality earphone  and bass is not up to mark,India,22-September-2019,realm bud 2 cheap qualiti earphon bass mark,0.0,neutral
"I am giving 3 star just for good built quality.This is headphones has bass below than average headphones. I can compare it because i have used many brand earphone. With trust  in realme brand I was  expecting good bass for 600 bucks headphones but unfortunately it doesn't has. It is total balanced sound headphones with good built quality don't know how long it will go.If you are bass lover please don't go for it will definitely disappoint you.Comfort Fitting in ear 10/10👍Built quality 9/10👍Cable quality 9/10👍Loudness 8/10Bass 4/10👈For movies, podcast and lecture...👍For music....👎Hope this will be helpful....😊",India,17-September-2019,give 3 star good built qualitythi headphon bass averag headphon compar use mani brand earphon trust realm brand expect good bass 600 buck headphon unfortun doesnt total balanc sound headphon good built qualiti dont know long goif bass lover pleas dont go definit disappoint youcomfort fit ear 1010built qualiti 910cabl qualiti 910loud 810bass 410for movi podcast lecturefor musichop help,0.9806,positive
Don't go with negative reviews....all those reviews are crap.. without any doubt go for it.. under ₹600 there is no other earphone who can give fight,India,20-September-2019,dont go neg reviewsal review crap without doubt go 600 earphon give fight,-0.3164,negative
