reviews,country,date,cleaned_reviews,sentiment_score,review_category
What can I say!SIMPLY SPECTACULAR.PUBG - smooth +90 FPSSmashing all the bench marks by some margin (140%~~)4 SPEAKERS are like home theatre.Battery backup is excellentCould have been better than 20 wts chargerI will keep u guys posted...stay tuned,India,24-May-2021,saysimpli spectacularpubg smooth 90 fpssmash bench mark margin 1404 speaker like home theatrebatteri backup excellentcould better 20 wt chargeri keep u guy postedstay tune,0.69,positive
"Don't buy if you are a heavy (Driver)/ laptop user and want to switch with iPad.It's still an iPad, Can handle small work. As a laptop , It's Good for students(with smart keyboard), Not for professionals.It's fast performance wise though. But I won't recommend buying as a laptop replacement.",India,10-June-2021,dont buy heavi driver laptop user want switch ipadit still ipad handl small work laptop good studentswith smart keyboard professionalsit fast perform wise though wont recommend buy laptop replac,0.3259,positive
"As expected, the box is slightly damaged. The ipad itself has no problem. During this lockdown period you don’t have a choice but to buy from amazon lol came 1 week earlier so 5 stars for you!",India,24-May-2021,expect box slightli damag ipad problem lockdown period dont choic buy amazon lol came 1 week earlier 5 star,0.7066,positive
"It is very sad to say that I have received the product today iPad Pro 2021 and unfortunately it is not working. 😔iPad Pro is completely frozen and unresponsive, I tried to force-restart it by holding down the home button and the power button at the same time on iPads Pro for more than ten minutes but it doesn’t work. ☹️",India,26-May-2021,sad say receiv product today ipad pro 2021 unfortun work ipad pro complet frozen unrespons tri forcerestart hold home button power button time ipad pro ten minut doesnt work ,-0.7276,negative
"King of tablet!!(Bought 11 inch m1 ipad pro base variant. Reviewing after using 3 weeks)Pros-1. Aluminium build, narrow bezel, premium design.2. Quad speaker- sounds great.3. Unlike mini LED in 12.9 inch ipad pro- display pretty decent with liquid retina lcd 600 nits brightness supports HDR content.4. Single port- now supports thunderbolt, fast charging. With good quality usb type c hub you can do multitasking. Mirror screen to external display with type c to hdmi cable.5. New apple M1 chip with 8 gb ram gives high performance with great power efficiency. Battery last 1 days with moderate to heavy usage.6. Front facing camera now support wide view with center stage feature.7. 11 inch is a sweet spot because of its portability, Reading ebooks. While 12.9 inch is less portable but gives pleasant experience with content viewing.Cons1. Although Ipad has very strong hardware but its crippled by limited software functionality of ipados. Recent lauching of ipados15 in Apple WWDC didn't add most awaited feature like pro apps, external monitor support, mac like filesystem etc. Ipados has long way to go hence can't be a laptop replacement yet.2. Accessories (not included) like Apple pencil, magic keyboard are very expensive. But thank god apple has included charger and type c cable- thats very generous 🍏3. Not IP rated, no wireless charging, no calling feature in 5g variant (even after paying 15k extra)!4. Fragile! Can't use without protective case.5. Buying just ipad is not enough- you have to buy accessories like apple pencil, magic keyboard, screen protector, well padded bag, usb c hub- which altogether cost nearly close to new m1 macbook pro!So think wisely before buying. Consider according to your necessity.Overall its the best tablet available in market.Thanks to Amazon for prompt delivery.",India,25-May-2021,king tabletbought 11 inch m1 ipad pro base variant review use 3 weekspros1 aluminium build narrow bezel premium design2 quad speaker sound great3 unlik mini led 129 inch ipad pro display pretti decent liquid retina lcd 600 nit bright support hdr content4 singl port support thunderbolt fast charg good qualiti usb type c hub multitask mirror screen extern display type c hdmi cable5 new appl m1 chip 8 gb ram give high perform great power effici batteri last 1 day moder heavi usage6 front face camera support wide view center stage feature7 11 inch sweet spot portabl read ebook 129 inch less portabl give pleasant experi content viewingcons1 although ipad strong hardwar crippl limit softwar function ipado recent lauch ipados15 appl wwdc didnt add await featur like pro app extern monitor support mac like filesystem etc ipado long way go henc cant laptop replac yet2 accessori includ like appl pencil magic keyboard expens thank god appl includ charger type c cabl that gener 3 ip rate wireless charg call featur 5g variant even pay 15k extra4 fragil cant use without protect case5 buy ipad enough buy accessori like appl pencil magic keyboard screen protector well pad bag usb c hub altogeth cost nearli close new m1 macbook proso think wise buy consid accord necessityoveral best tablet avail marketthank amazon prompt deliveri,0.9956,positive
This is amazing product with speed and experience. But this is not yet ready to be used as replacement for Mac. Long way to go. Even thunderbolt support for monitors does not show full resolution. Think carefully if you are going by hype and to have as laptop replacement.I am planing to sell as I tried to return within 30 min and Amazon did not accept. If you want to rerurn if it is not to your liking difinately not a place to buy. Go for apple stores,India,10-June-2021,amaz product speed experi yet readi use replac mac long way go even thunderbolt support monitor show full resolut think care go hype laptop replacementi plane sell tri return within 30 min amazon accept want rerurn like difin place buy go appl store,0.2197,positive
"                    The media could not be loaded.
                



 Regarding Ipad pro 2021 11 inch model with M1 chip, totally wastage of money if you purchade this product for gaming. Graphics quality is not good like previous model od ipads, games are not fully optimized, i am very much disappointed with this product, i hove in future apple and the game developers resolve the issues",India,14-June-2021," media could loaded
 



regard ipad pro 2021 11 inch model m1 chip total wastag money purchad product game graphic qualiti good like previou model od ipad game fulli optim much disappoint product hove futur appl game develop resolv issu",-0.79,negative
"The best in the market with M1 chipPros1. M1 Chip improved the performance by 50 percent from predecessor.2. Good camera quality3. 8 gb ram4. Thunderbolt support for fast data tranceferCons1. No call function in cellular model so choose wisely, wifi model is sufficient2.No mini leds as in 12.9 variant.3. Processor is designed for mac so limited applications",India,31-May-2021,best market m1 chippros1 m1 chip improv perform 50 percent predecessor2 good camera quality3 8 gb ram4 thunderbolt support fast data trancefercons1 call function cellular model choos wise wifi model sufficient2no mini led 129 variant3 processor design mac limit applic,0.9059,positive
"Points to be considered before selecting the correct variant for you:1. Avoid the 128Gb variant if you wanna use it for more than 2 years.2. Think twice before buying a Wi-Fi+ SIM variant. I bought it with 5G support but never put a sim as WiFi is enough for me. So I could have saved 10K.3. If budget is an issue and you just need it for taking notes and some entertainment then you can go for Air. Trust me, you won't regret that.4. Don't go for 12.9’’ until you need it. It's too bulky. 11"" is more than enough for daily use and you can carry it with you easily.5. If you need an Apple pencil Gen2 then you can get it in 8.1k.Review:I use it for taking notes, observing the stock market, and watching movies. The display is awesome and the touch is very smooth. I was an Android user but I like this more than Galaxy tabs.",India,11-June-2021,point consid select correct variant you1 avoid 128gb variant wanna use 2 years2 think twice buy wifi sim variant bought 5g support never put sim wifi enough could save 10k3 budget issu need take note entertain go air trust wont regret that4 dont go 129 need bulki 11 enough daili use carri easily5 need appl pencil gen2 get 81kreviewi use take note observ stock market watch movi display awesom touch smooth android user like galaxi tab,0.9776,positive
A great product to buy. Bought it with the magic keyboard and both work like a charm. The magic keyboard has a backlit thus we can easily use the iPad during hours of darkness.  Definitely not a replacement for a laptop but does almost all the work required for the day to day functioning.Had purchased the WiFi + Cellular version. But IMHO it’s better to go with just the WiFi version only as the cellular one doesn’t allow you to make a call but is there only for the data. The same can be done easily using the mobile hotspot. So better to save 10-15k.,India,25-May-2021,great product buy bought magic keyboard work like charm magic keyboard backlit thu easili use ipad hour dark definit replac laptop almost work requir day day functioninghad purchas wifi cellular version imho better go wifi version cellular one doesnt allow make call data done easili use mobil hotspot better save 1015k,0.9783,positive
